ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),Satellites in range,Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9553,6.0142,6.9887,1.9349,7.2055,6.3646,-2.8902,-1.1912,0.6241,-0.3855,0.8237,0.7061,21.98,1.84,-23.52,296.99,-50.07,-16.36,2,55.734,19.519304,-96.91517,,,164.51613,0 / 3,86.4,90,4.115,71,2014-11-08 13:52:55:131
-0.3855,4.2952,8.266,2.3434,6.4066,7.0452,-2.7289,-2.1114,1.2208,-0.0512,0.4958,0.3474,24.31,-2.51,-21.7,281.36,-42,-20.17,2,54.982,19.519304,-96.91517,,,164.51613,0 / 3,86.4,90,4.115,591,2014-11-08 13:52:55:651
0.7709,0.0455,9.1602,2.8094,2.2039,9.1335,-2.6971,-1.8761,2.1002,-0.183,0.3672,0.5324,25.94,4.7,-22.69,284.61,-18.73,-16.77,2,52.904,19.519304,-96.91517,,,164.51613,0 / 9,86.4,90,4.115,1112,2014-11-08 13:52:56:172
0.8523,1.2857,9.4128,3.4089,0.9235,9.1486,-3.0084,0.3128,1.2494,0.2342,0.5807,0.7415,21.7,-7.25,-24.7,259.69,-5.98,-22.98,2,63.056,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,1655,2014-11-08 13:52:56:715
1.2677,1.1708,7.7141,2.9591,1.7599,9.1824,-1.6914,-0.5891,-1.4683,0.182,0.5387,-0.0234,20.65,-12.48,-23.78,252.05,-10.34,-17.86,2,73.874,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,2158,2014-11-08 13:52:57:218
1.7071,1.8555,11.1235,2.5163,1.3947,9.3751,-0.8093,0.4609,1.7483,-0.2708,-0.2247,0.2408,22.32,-13.31,-23.18,248.86,-8.18,-15.02,2,68.209,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,2666,2014-11-08 13:52:57:726
1.5814,2.5163,9.1518,2.9089,2.3057,9.077,-1.3275,0.2106,0.0748,-0.1103,-0.0666,-0.7881,14.52,-12.54,-15.24,240.91,-12.94,-17.84,2,49.93,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,3249,2014-11-08 13:52:58:309
1.2222,1.7166,9.1255,0.9641,3.2335,9.2079,0.2581,-1.5168,-0.0824,-0.2411,-0.3538,-0.8795,19.49,12.74,-19.92,310.91,-19.25,-5.98,2,57.245,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,3765,2014-11-08 13:52:58:825
1.172,1.5562,8.272,0.8711,2.8123,9.3543,0.3008,-1.2561,-1.0823,-0.4221,-0.933,-0.7517,14.17,22.04,-23.24,327.1,-15.99,-2.28,2,51.818,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,4325,2014-11-08 13:52:59:385
2.6085,2.3236,10.3645,1.4667,1.8111,9.5257,0.5672,-0.6618,0.9549,-0.1357,0.3508,0.2006,-4.29,31.54,-27.89,359.52,-10.64,-8.75,2,53.792,19.519304,-96.91517,,,164.51613,0 / 12,86.4,90,4.115,4862,2014-11-08 13:52:59:922
1.7849,1.1696,9.3709,2.2843,1.8983,9.3461,-0.0925,-0.9554,-0.1192,-0.0751,0.032,0.5277,-9.15,26.84,-30.62,2.69,-13.31,-13.38,2,73.772,19.519304,-96.91517,,,164.51613,0 / 12,86.4,90,4.115,5380,2014-11-08 13:53:00:440
2.4924,0.6991,8.3438,2.1315,1.1446,9.5035,0.4376,0.4619,-1.913,0.3489,0.3123,0.9381,5.68,20.17,-31.41,331.46,-6.7,-12.64,2,70.158,19.519304,-96.91517,,,164.51613,0 / 13,86.4,90,4.115,5909,2014-11-08 13:53:00:969
1.5981,-1.3946,13.7906,1.9098,1.0652,9.5597,0.2917,-1.8433,1.778,-0.0551,0.4675,0.6156,10.36,9.45,-31,309.51,-7.03,-9.76,2,55.508,19.519304,-96.91517,,,164.51613,0 / 13,86.4,90,4.115,6449,2014-11-08 13:53:01:509
2.6097,1.1887,10.1382,2.0128,0.842,9.5609,0.5969,0.3467,0.5774,0.2469,0.6797,-0.001,7.83,1.2,-30.88,283.68,-4.93,-11.89,2,73.589,19.519304,-96.91517,,,164.51613,0 / 13,86.4,90,4.115,6979,2014-11-08 13:53:02:039
1.6963,2.4636,9.3948,1.6159,1.1575,9.6031,2.2468,6.2028,2.6196,-0.0722,-0.1037,-0.0349,8.58,-0.32,-30.29,276.31,-7.42,-10.86,2,73.875,19.519304,-96.91517,,,164.51613,0 / 13,86.4,90,4.115,7510,2014-11-08 13:53:02:570
1.6915,-0.832,7.0964,1.8875,2.5803,9.2709,0.0053,-5.2086,-2.327,-0.285,-0.1998,0.5533,8.96,-10.1,-25.43,263.59,-17.16,-9.93,2,71.971,19.519304,-96.91517,,,164.51613,0 / 13,86.4,90,4.115,8059,2014-11-08 13:53:03:119
2.0051,-0.3208,10.3848,2.1737,-0.8035,9.5289,-0.1686,0.4827,0.856,0.2191,0.1752,0.3086,5.08,8.41,-32.1,294.67,4.7,-12.85,2,73.083,19.519863,-96.91555,4375.81,0.67,32.258064,0 / 13,86.4,90,4.115,8601,2014-11-08 13:53:03:661
3.6583,-0.4106,8.3354,2.3642,-0.4856,9.505,1.2941,0.075,-1.1696,-0.1732,-0.1325,-0.587,3.65,5.6,-31,291.82,2.84,-13.97,2,72.274,19.519863,-96.91555,4375.81,0.67,32.258064,0 / 13,86.4,90,4.115,9128,2014-11-08 13:53:04:188
3.7338,0.328,8.2133,2.3199,-0.3163,9.523,1.4138,0.6443,-1.3097,0.3508,-0.3738,-0.387,3.58,7.87,-28.35,304.21,1.85,-13.69,2,63.613,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,9637,2014-11-08 13:53:04:697
4.033,0.4788,10.234,3.9296,0.2472,8.9815,-1.1814,1.8189,-0.3508,-0.2289,0.4392,0.0349,-5.72,1.16,-26.63,299.44,-7.15,-18.77,2,66.854,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,10149,2014-11-08 13:53:05:209
2.727,1.1648,9.0094,2.1583,1.1943,9.4914,0.5687,-0.0295,-0.482,0.201,-0.4899,-0.2154,2.9,-0.56,-22.73,295.47,-2.81,-15.49,2,58.418,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,10678,2014-11-08 13:53:05:738
-0.2682,2.4181,8.3318,0.6985,1.3315,9.6907,-2.0883,0.9286,-1.2535,-0.9525,-0.9613,-0.1691,13.06,0.47,-16.6,286.42,-12.99,0.07,2,57.878,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,11192,2014-11-08 13:53:06:252
2.1129,2.1428,7.5154,2.7273,0.9571,9.371,-0.0675,-1.2131,0.8623,-0.0605,-1.4971,-1.3616,5.53,8.96,-21.74,312.35,-5.6,-16.23,2,56.68,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,11717,2014-11-08 13:53:06:777
3.7146,-0.8799,12.2404,2.9213,0.349,9.3549,-0.0614,-3.0015,3.8313,-1.1218,0.6705,0.6241,-3.05,21.16,-20.33,351.87,-2.04,-17.34,2,58.789,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,12222,2014-11-08 13:53:07:282
3.7098,1.6484,13.1525,3.141,1.1259,9.2215,1.1786,-1.1127,2.6813,0.103,-0.4331,0.7732,-1.95,16.44,-21.2,346.48,-2.98,-11.02,2,56.666,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,12746,2014-11-08 13:53:07:806
4.2665,-0.7865,12.1183,3.3727,0.9282,9.1615,0.8938,-1.7147,2.9567,-0.3469,0.1581,0.1779,-5.15,13.34,-20.75,350.29,-5.43,-20.21,2,57.6,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,13568,2014-11-08 13:53:08:628
2.4505,0.6883,5.4588,3.1147,-0.0327,9.2988,-0.6642,0.721,-3.84,0.2864,0.2464,-0.7214,-0.47,17.13,-17.32,341.02,2.3,-19.31,2,56.028,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,14108,2014-11-08 13:53:09:168
1.5407,0.0395,7.5346,2.8807,-0.8372,9.3365,-1.3644,1.8039,-2.4558,-0.0991,0.091,-0.4953,-1.46,22.81,-13.98,351.7,4.9,-17.15,2,56.452,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,14622,2014-11-08 13:53:09:682
3.5255,2.8168,7.774,3.599,0.6693,9.0978,-0.0736,2.1474,-1.3238,0.2249,0.9274,-0.5751,-4.98,20.62,-15.44,357.04,-7.18,-14.61,2,56.61,19.519863,-96.91555,4375.81,0.67,32.258064,13 / 13,86.4,90,4.115,15122,2014-11-08 13:53:10:182
3.6332,0.0587,9.0214,2.8253,1.039,9.3332,0.8079,-0.9803,-0.3118,-0.9432,-0.0566,-0.312,-10.81,22.28,-13.92,15.21,-8.14,-16.55,2,54.381,19.519863,-96.91555,4375.81,0.67,32.258064,nov-13,86.4,90,4.115,15624,2014-11-08 13:53:10:684
3.9217,-0.4106,11.4694,4.2565,0.5785,8.8158,-0.3348,-0.9891,2.6537,-0.8905,0.12,-0.2386,-18.48,17.93,-1.33,40.48,-3.38,-25.77,2,56.285,19.519863,-96.91555,4375.81,0.67,32.258064,nov-13,86.4,90,4.115,16161,2014-11-08 13:53:11:221
3.8223,1.1588,9.2524,3.8793,0.4461,8.9957,-0.0569,0.7127,0.2567,0.0278,0.4894,0.143,-21.7,17.34,1.67,46.85,-3.22,-23.76,2,52.346,19.519863,-96.91555,4375.81,0.67,32.258064,nov-13,86.4,90,4.115,16705,2014-11-08 13:53:11:765
2.8515,1.7394,9.4068,3.891,0.5223,8.9865,-1.8943,0.4845,-0.3195,0.0551,-0.1886,0.2869,-20.2,19.23,0.75,44.46,-1.97,-22.49,2,52.032,19.519863,-96.91555,4375.81,0.67,32.258064,nov-13,86.4,90,4.115,17212,2014-11-08 13:53:12:272
6.6068,0.7207,10.2939,3.2433,0.82,9.2184,3.3635,-0.0994,1.0755,-0.4802,0.7163,2.0836,-17.67,17.45,-2.9,40.44,-8.68,-22.09,2,53.911,19.519863,-96.91555,4375.81,0.67,32.258064,nov-14,86.4,90,4.115,17741,2014-11-08 13:53:12:801
3.0347,0.4537,11.3042,2.4105,1.0767,9.4446,0.6241,-0.623,1.8596,0.2152,0.4484,1.244,-0.11,16.62,-6.9,354.64,-7.64,-13.75,2,53.749,19.519863,-96.91555,4375.81,0.67,32.258064,nov-14,86.4,90,4.115,18308,2014-11-08 13:53:13:368
1.7274,0.7159,13.3345,1.7562,1.3248,9.5567,-0.0288,-0.6089,3.7778,0.9501,0.3823,-0.1086,4.82,17.24,-4.99,340.76,-3.98,-13.18,2,53.317,19.519863,-96.91555,4375.81,0.67,32.258064,dic-14,86.4,90,4.115,18810,2014-11-08 13:53:13:870
2.8683,3.0909,8.9735,2.2819,2.2662,9.2643,0.0721,0.0401,-2.1471,0.8671,0.3804,0.2955,7.72,10.42,-7.12,319.64,-12.71,-11.83,2,56.025,19.520208,-96.91536,,,257.5645,nov-14,86.4,90,4.115,19338,2014-11-08 13:53:14:398
2.6779,2.3607,7.7656,3.1093,2.5033,8.9575,-0.4314,-0.1426,-1.1919,-0.201,-0.9025,-0.4218,7.44,9.82,-7.4,321.12,-9.29,-15.26,2,52.612,19.520208,-96.91536,,,257.5645,nov-14,86.4,90,4.115,19868,2014-11-08 13:53:14:928
2.5055,1.4856,6.8738,2.7724,2.2631,9.1303,-0.2669,-0.7775,-2.2565,0.6568,0.5033,0.3364,9.2,12.93,-5.88,322.24,-13.34,-16.89,2,55.04,19.520208,-96.91536,,,257.5645,dic-14,86.4,90,4.115,20443,2014-11-08 13:53:15:503
2.1225,1.8387,6.6667,3.2137,1.6174,9.1228,-1.0913,0.2213,-2.4562,-0.4758,-0.1862,-1.3175,7.7,20.43,-7.16,334.19,-9.22,-19.2,2,55.722,19.520208,-96.91536,,,257.5645,dic-14,86.7,90,4.11,20970,2014-11-08 13:53:16:030
2.8156,2.909,9.5612,1.8691,2.9862,9.152,0.9465,-0.0773,0.4092,-0.9125,0.3547,1.4424,-13.7,21.16,-10.44,17.04,-16.09,-11.61,2,55.729,19.520208,-96.91536,,,257.5645,dic-14,86.7,90,4.11,21516,2014-11-08 13:53:16:576
2.8826,0.425,7.2233,2.2231,1.0033,9.4985,0.6595,-0.5783,-2.2752,1.5054,-0.3882,-1.1145,-2.23,28.52,-6.88,0.68,-5.87,-13.17,2,51.852,19.520208,-96.91536,,,257.5645,dic-14,86.7,90,4.11,22131,2014-11-08 13:53:17:191
1.9453,-0.8715,8.3606,1.4148,1.8721,9.5218,0.1995,-3.1374,-1.4804,0.0634,-0.9864,-1.5629,-23.07,18.52,-8.06,47.82,-9.87,-3.63,2,52.111,19.520208,-96.91536,,,257.5645,12-dic,86.7,90,4.11,22726,2014-11-08 13:53:17:786
2.788,0.5782,9.1578,2.8595,0.672,9.3564,-0.0715,-0.0938,-0.1986,0.3367,-0.2945,0.0805,-36.43,8.79,3.34,77.01,-3.36,-19.43,2,55.589,19.520208,-96.91536,,,257.5645,12-dic,86.7,90,4.11,23303,2014-11-08 13:53:18:363
3.2537,0.753,8.9878,2.8743,0.7835,9.3432,0.2788,0.0784,-0.5217,-0.0215,0.3094,-0.1166,-35.59,12.07,2.46,70.12,-4.58,-17.1,2,57.893,19.520208,-96.91536,,,257.5645,13 / 13,86.7,90,4.11,23869,2014-11-08 13:53:18:929
1.8675,-0.0934,8.922,2.6841,0.4237,9.4227,0.2608,-0.5279,0.8688,0.3133,-0.2396,-0.316,-37.14,8.43,4.27,77.3,-2.48,-15.9,2,56.44,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,24387,2014-11-08 13:53:19:447
3.1472,0.5997,9.244,2.5877,0.5876,9.4408,0.5595,0.0122,-0.1968,0.1376,0.0405,-0.1188,-36.23,9.35,3.07,75.09,-3.96,-15.59,2,67.476,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,24929,2014-11-08 13:53:19:989
2.5187,0.316,8.6383,2.4924,0.1837,9.4829,-0.0153,-0.128,-0.5584,-0.2625,0.2274,-0.2049,-37.27,7.76,3.71,77.08,-3.23,-13.38,2,59.334,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,25471,2014-11-08 13:53:20:531
1.4641,-0.7626,9.4344,2.2169,-0.0261,9.5527,-0.7529,-0.7364,-0.1184,0.4665,0.1013,0.1361,-36.83,7.12,2.57,79.45,1.65,-13.5,2,70.011,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,26015,2014-11-08 13:53:21:075
2.6133,-1.828,9.5181,4.1761,-0.5192,8.8578,-1.5628,-1.3087,0.6603,-0.1459,-0.75,0.0917,-36.79,12.74,7.14,71.1,3.04,-25.24,2,69.601,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,26528,2014-11-08 13:53:21:588
3.2825,1.3515,9.1973,2.4319,0.6764,9.4762,0.8506,0.6752,-0.2789,0.852,0.9727,1.5722,-26.91,22.28,-1.07,48.33,-4,-17.93,2,70.109,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,27036,2014-11-08 13:53:22:096
3.3076,1.5897,8.6407,2.5382,1.4186,9.3657,0.7694,0.1711,-0.725,0.1581,0.1605,0.1849,-9.22,25.77,-8.77,15.79,-7.42,-14.56,2,60.751,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,27550,2014-11-08 13:53:22:610
1.7933,0.3783,9.8462,2.5648,1.2574,9.3814,1.0923,-1.7949,0.3007,-0.5045,-0.8081,-1.591,-18.53,24.55,-6.13,32.61,-7.37,-15.29,2,73.921,19.520208,-96.91536,,,257.5645,dic-13,86.7,90,4.11,28062,2014-11-08 13:53:23:122
3.3339,0.7853,9.4032,2.6451,0.5906,9.4247,0.6888,0.1947,-0.0215,0.1918,0.2496,0.8149,-29.01,20.2,-0.34,53.18,-3.57,-18.85,2,66.495,19.520208,-96.91536,,,257.5645,13 / 14,86.7,90,4.11,28620,2014-11-08 13:53:23:680
3.2429,0.9637,9.104,3.0614,0.8592,9.2768,0.1815,0.1045,-0.1729,0.0395,-0.3657,-0.0024,-22.55,24.42,-3.73,40.42,-5.02,-15.44,2,73.103,19.520208,-96.91536,,,257.5645,13 / 14,86.7,90,4.11,29121,2014-11-08 13:53:24:181
3.5518,1.2318,9.3601,3.7512,0.7802,9.0272,-0.1994,0.4516,0.333,-0.1791,-0.0346,-0.3931,-30.25,22.32,3.3,48.46,-4.27,-22.52,2,58.7,19.520208,-96.91536,,,257.5645,13 / 14,86.7,90,4.11,29662,2014-11-08 13:53:24:722
3.3806,0.8464,8.8107,1.6762,1.2651,9.5792,1.7044,-0.4187,-0.7685,0.0712,-0.4899,-0.7644,-29.95,16.17,-3.56,59.44,-7.41,-9.93,2,67.962,19.520208,-96.91536,,,257.5645,13 / 14,86.7,90,4.11,30162,2014-11-08 13:53:25:222
2.7892,2.6851,9.8067,2.4501,1.4465,9.3848,0.3391,1.2386,0.4218,0.1034,0.1581,0.0905,-34.6,10.81,1.01,70.53,-8.07,-15.1,2,72.128,19.520208,-96.91536,,,257.5645,13 / 14,86.7,90,4.11,30782,2014-11-08 13:53:25:842
3.389,2.4421,9.2117,2.8267,1.2692,9.3043,0.5623,1.1729,-0.0926,-0.1976,0.2108,-0.0188,-33.26,16.49,0.04,62.3,-11.82,-18.68,2,60.589,19.520208,-96.91536,,,257.5645,13 / 15,86.7,90,4.11,31347,2014-11-08 13:53:26:407
2.5965,0.1053,11.8657,2.043,1.0973,9.5285,0.5535,-0.9919,2.3372,0.4182,0.6024,-0.021,-32.7,17.88,-1.12,59.65,-6.42,-12.1,2,66.696,19.520208,-96.91536,,,257.5645,13 / 15,86.7,90,4.11,31928,2014-11-08 13:53:26:988
1.7633,2.0554,10.1598,2.2863,0.9736,9.4866,-0.523,1.0819,0.6732,0.2464,0.3977,0.3152,-34.35,14.96,-0.41,63.45,-7.61,-11.2,2,56.863,19.519855,-96.91558,4364.19,1.58,16.129032,14 / 15,86.7,90,4.11,32453,2014-11-08 13:53:27:513
2.478,3.6547,10.7631,1.2777,1.7246,9.5689,1.2003,1.9301,1.1942,0.3425,0.9998,0.2855,-20.33,18.44,-17.34,39.73,-10.13,-7.61,2,53.346,19.519855,-96.91558,4364.19,1.58,16.129032,14 / 15,86.7,90,4.11,33071,2014-11-08 13:53:28:131
-0.5842,4.9811,7.7931,-0.8791,5.5395,8.0444,0.295,-0.5583,-0.2512,0.3972,-0.1225,-0.8756,-22.06,-6.97,-22.19,76.08,-29.52,-2.49,2,52.906,19.519855,-96.91558,4364.19,1.58,16.129032,15 / 15,86.7,90,4.11,33609,2014-11-08 13:53:28:669
0.7111,7.5585,6.2944,0.4099,7.0203,6.8351,0.3012,0.5382,-0.5407,-0.2454,-0.7085,-0.0198,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,56.914,19.519855,-96.91558,4364.19,1.58,16.129032,15 / 15,86.7,90,4.11,34345,2014-11-08 13:53:29:405
-0.1173,5.193,8.1954,-0.584,4.4024,8.7435,0.4667,0.7907,-0.5481,-0.0917,0.2074,-0.2806,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,59.956,19.519855,-96.915565,4364.84,2.02,16.129032,14 / 15,86.7,90,4.11,34845,2014-11-08 13:53:29:905
-2.8467,4.0366,5.624,-3.029,5.3869,7.6143,0.1823,-1.3503,-1.9903,0.6534,0.6824,0.2357,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,66.813,19.519855,-96.915565,4364.84,2.02,16.129032,15 / 15,86.7,90,4.11,35345,2014-11-08 13:53:30:405
-2.8671,3.8978,9.232,-3.5247,3.3268,8.5252,0.6576,0.5709,0.7068,-0.121,0.1479,-0.2245,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,67.944,19.519855,-96.915565,4364.84,2.02,16.129032,15 / 15,86.7,90,4.11,35846,2014-11-08 13:53:30:906
-1.968,4.6017,6.8486,-2.1549,5.0264,8.1402,0.1869,-0.4247,-1.2916,0.4275,0.0776,-1.003,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,52.41,19.519844,-96.91556,4365.48,2.02,16.129032,15 / 15,86.7,90,4.11,36347,2014-11-08 13:53:31:407
-0.1413,3.0059,8.2181,0.8617,3.5905,9.0849,-1.003,-0.5846,-0.8668,0.5914,-0.5411,0.4789,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,51.379,19.519844,-96.91556,4365.48,2.02,16.129032,15 / 15,86.7,90,4.11,36847,2014-11-08 13:53:31:907
-0.0599,1.148,10.6937,0.6446,2.0553,9.5672,-0.7045,-0.9073,1.1265,0.2108,0.1459,1.9833,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,51.624,19.51984,-96.91555,4366.45,2.02,16.129032,15 / 15,86.7,90,4.11,37347,2014-11-08 13:53:32:407
-1.8459,1.9166,9.8629,-1.264,1.2705,9.6415,-0.5819,0.6461,0.2214,-0.4626,-0.2852,0.8107,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,71.284,19.51984,-96.91555,4366.45,2.02,16.129032,15 / 15,86.7,90,4.11,37847,2014-11-08 13:53:32:907
0.3496,-0.4705,8.8933,-2.8556,-0.0043,9.3817,3.2052,-0.4661,-0.4884,0.2674,0.0632,-0.6119,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,59.244,19.51984,-96.91555,4366.45,2.02,16.129032,14 / 15,86.7,90,4.11,38347,2014-11-08 13:53:33:407
-2.1105,0.8068,11.0864,-2.9287,1.418,9.2511,0.8182,-0.6112,1.8353,0.387,-0.7153,-0.7188,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,52.437,19.51984,-96.91555,4366.45,2.02,16.129032,14 / 15,86.7,90,4.11,38847,2014-11-08 13:53:33:907
-3.4117,4.8243,7.2245,-3.697,3.2537,8.4803,0.2853,1.5706,-1.2558,0.2859,-1.318,-1.4097,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,53.216,19.520048,-96.91539,,,169.35483,14 / 15,86.7,90,4.11,39347,2014-11-08 13:53:34:407
-3.1795,3.1891,6.9168,-2.3328,2.216,9.2638,-1.1376,0.5948,-0.7739,-0.0825,-0.2245,-0.0227,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,53.958,19.519844,-96.91554,4368.06,1.35,16.129032,14 / 15,86.7,90,4.11,39847,2014-11-08 13:53:34:907
-1.148,0.3687,6.5924,-1.2722,2.3069,9.4462,0.226,-1.8532,-0.8438,-1.459,-0.5041,0.2476,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,51.445,19.519842,-96.915535,4368.06,2.7,16.129032,15 / 15,86.7,90,4.11,40347,2014-11-08 13:53:35:407
-0.9888,-1.555,7.9655,-0.5754,-0.7013,9.7646,0.7693,0.4151,-2.7939,0.1835,0.2564,-1.165,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,67.193,19.519842,-96.915535,4368.06,2.7,16.129032,15 / 15,86.7,90,4.11,40848,2014-11-08 13:53:35:908
-1.397,-5.5893,12.5815,-1.0169,-1.8541,9.5759,-0.1395,-2.8146,0.5336,0.5114,0.2855,0.8339,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,75.578,19.519842,-96.91553,4368.39,2.7,16.129032,14 / 15,86.7,90,4.11,41348,2014-11-08 13:53:36:408
-1.3946,-1.3731,13.3405,-1.9918,0.3253,9.5967,-0.1007,0.9041,1.6764,-1.3224,-0.8073,-0.5572,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,71.013,19.519842,-96.91553,4368.39,2.7,16.129032,14 / 15,86.7,90,4.11,41848,2014-11-08 13:53:36:908
-0.4286,0.6225,11.2324,-0.2475,-0.0883,9.8031,-0.4193,-0.4252,1.1192,0.6885,0.4601,0.1332,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,71.837,19.519844,-96.91552,4368.71,2.47,16.129032,14 / 15,86.7,90,4.11,42348,2014-11-08 13:53:37:408
-1.6592,0.8595,8.7759,-1.2582,0.2953,9.7211,0.2143,-0.1827,-1.4911,0.4733,0.6636,0.0054,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,55.002,19.519844,-96.91552,4368.71,2.47,16.129032,14 / 15,86.7,90,4.11,42849,2014-11-08 13:53:37:909
-1.4904,1.2725,7.5753,-1.6978,0.3996,9.6503,-0.4067,0.8334,-1.2514,-0.2045,0.0761,-0.3826,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,53.724,19.519844,-96.91552,4368.71,2.47,16.129032,14 / 15,86.7,90,4.11,43349,2014-11-08 13:53:38:409
-2.0375,-0.4298,8.6191,-2.2222,0.6314,9.5307,0.2972,-1.9338,2.8462,1.1355,0.5565,0.1317,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,55.172,19.519844,-96.91552,4368.71,2.47,16.129032,14 / 15,86.7,90,4.11,43849,2014-11-08 13:53:38:909
-3.486,-0.0215,6.365,-3.2513,0.6944,9.2259,0.1568,-0.4131,-0.4488,0.2874,-0.2125,-0.2359,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,55.632,19.519842,-96.91551,4370.32,2.25,16.129032,14 / 15,86.7,90,4.11,44349,2014-11-08 13:53:39:409
-2.2589,0.2598,10.8266,-2.3,0.0453,9.533,-0.7882,1.2704,1.2516,0.4597,0.0063,0.9379,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,54.125,19.519842,-96.91551,4370.32,2.25,16.129032,14 / 15,86.7,90,4.11,44849,2014-11-08 13:53:39:909
-1.081,0.8691,8.825,-2.2463,0.9006,9.5034,1.1521,1.2027,-0.2653,-0.1381,0.3328,0.2957,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,52.698,19.51984,-96.915504,4370.97,2.25,16.129032,14 / 15,86.7,90,4.11,45352,2014-11-08 13:53:40:412
-1.9357,-0.4633,9.645,-2.1598,-0.0116,9.5659,-0.4272,0.64,-0.2213,-1.1428,-0.2193,-0.8286,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,51.989,19.51984,-96.915504,4370.97,2.25,16.129032,14 / 15,86.7,90,4.11,45853,2014-11-08 13:53:40:913
-2.7653,-1.2605,11.309,-1.028,0.816,9.7184,-0.4073,-0.5957,-0.9485,0.2328,-0.0917,0.6519,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,69.625,19.51984,-96.915504,4370.97,2.25,16.129032,13 / 15,86.7,90,4.11,46353,2014-11-08 13:53:41:413
-1.2725,0.504,12.4917,-1.5915,0.8467,9.6395,0.0568,0.5563,1.1966,-0.5509,0.1247,-0.4299,-21.7,-11.11,-21.44,76.08,-29.52,-2.49,2,73.888,19.51984,-96.915504,4370.97,2.25,16.129032,13 / 15,86.7,90,4.11,46853,2014-11-08 13:53:41:913
